weight hp origin model mpg.city cargo seating displacement type cylinders origin length width turndiam headroom legroom price make model mpg.hwy
3779 150 US Ford.LTD 17 22.4 6 302 4NB 8 1 211 77.5 39.1 37.9 43.5 15851 Ford LTD 24
2782 225 US Ford.Mustang 17 30 4 302 3HB.LXSport 8 1 179.6 69.1 37.4 37 41.7 11925 Ford Mustang 25
2720 110 US Ford.Probe 22 40.7 5 133 3HBGL 4 1 177 67.9 34.8 37.3 42.5 11458 Ford Probe 29
2982 90 US Ford.Taurus 21 17 6 153 4NBL 4 1 188.4 70.6 39.8 38.3 41.7 11778 Ford Taurus 27
2515 98 US Ford.Tempo 22 13.2 5 141 4NBGL 4 1 176.5 68.3 38.7 37.5 41.5 9722 Ford Tempo 26
3542 140 US Ford.T-bird NA 14.7 5 232 2NBLX 6 1 198.7 72.7 35.6 38.1 42.5 NA Ford T-bird NA
1640 55 Asia Geo.Metro NA 31.4 4 61 5HBLSi 3 3 150.4 62.7 31.5 38.8 42.5 8091 Geo Metro NA
1989 70 Asia Geo.Spectrum 31 11.4 5 90 4NB 4 3 160.2 63.6 34.8 37.7 41.7 8429 Geo Spectrum 33
2482 98 Asia Honda.Accord 23 13.7 5 119 4NBDX 4 3 179.7 67.4 34.8 38.7 42.8 12380 Honda Accord 30
2039 92 Asia Honda.Civic 27 12.2 5 91 4NBDX 4 3 166.5 65.9 31.5 38.5 43.1 10090 Honda Civic 32
1819 92 Asia Honda.CRX 29 23.2 2 91 3HB 4 3 147.8 65.7 29.5 37 43.9 9880 Honda CRX 36
2522 104 Asia Honda.Prelude 20 11.2 4 119 2NBSi 4 3 175.6 67.3 34.8 36.9 43.1 14670 Honda Prelude 26
2156 68 Asia Hyundai.Excel 27 11.2 5 90 4NBGL 4 3 168 63.1 33.8 37.5 40.9 7634 Hyundai Excel 31
2011 70 Asia Isuzu.I-Mark 31 11.4 5 90 4NBS 4 3 160.7 63.6 32.8 37.7 41.7 8609 Isuzu I-Mark 33
2727 110 Asia Isuzu.Impulse 20 29.4 4 137 3HB 4 3 172.6 65.2 31.5 36.9 41.9 14869 Isuzu Impulse 26
3628 140 US Lincoln.Continental 19 19 6 232 4NB 6 1 205.1 72.7 38 38.7 41.7 27468 Lincoln Continental 28
3722 225 US Lincoln.Mark.VII 17 14.2 5 302 2NB 8 1 202.8 70.9 40 37.8 42 27218 Lincoln Mark.VII 24
4051 150 US Lincoln.TownCar 17 22.4 6 302 4NB 8 1 219 78.1 40 39 43.5 25205 Lincoln Town.Car 24
3463 121 Asia Mazda.MPV 19 37.5 7 159 4VAN 4 3 175.8 71.9 36.1 40 40.6 14459 Mazda MPV 24
2645 146 Asia Mazda.RX-7 17 20.9 4 80 3HBSE NA 3 168.9 66.5 32.2 37.2 43.7 16820 Mazda RX-7 23
2175 82 Asia Mazda.323 24 14.7 5 97 4NBSE 4 3 169.7 64.8 30.8 38.3 41.5 8999 Mazda 323 30
2590 110 Asia Mazda.626 22 15.9 5 133 4NBLX 4 3 179.3 66.5 36 39 43.7 13919 Mazda 626 28
3373 158 Asia Mazda.929 19 15.1 5 180 4NB 6 3 193.1 66.9 35.4 37.8 43.3 21920 Mazda 929 23
3730 177 Europe Mercedes.S-Class 17 15.2 5 181 4NB300SE 6 2 202.6 71.7 39 38.6 41.9 51400 Mercedes S-Class 19
2955 158 Europe Mercedes.190 20 11.7 5 159 4NB 6 2 175.1 66.5 34.8 38 41.9 32500 Mercedes 190E 23
3210 188 Europe Mercedes.260 20 14.6 5 159 4NB 6 2 187.2 68.5 36.7 36.9 41.7 39200 Mercedes 260E 24
2185 82 Europe Mercury.Tracer 26 28.9 5 97 5HB 4 1 162 65.2 30.8 38.3 41.5 9657 Mercury Tracer 29
3230 144 Europe Merkur.Scorpio 17 37.2 5 177 5HB 6 1 186.4 69.5 34.1 37 41.3 25602 Merkur Scorpio 23
2524 92 Asia Mitsubishi.Eclipse 26 10.2 4 107 3HB 4 3 170.5 66.5 NA 37.9 43.8 NA Mitsubishi Eclipse 37
2601 102 Asia Mitsubishi.Galant 22 12.3 5 122 4NB 4 3 183.9 66.7 34.8 38.6 41.9 11819 Mitsubishi Galant 28
2271 81 Asia Mitsubishi.Mirage 27 10.3 5 90 4NB 4 3 170.1 65.7 30.8 39.1 41.9 9329 Mitsubishi Mirage 29
3075 142 Asia Mitsubishi.Sigma 18 12.4 5 181 4NB 6 3 185.8 66.7 34.8 37.5 40.3 17069 Mitsubishi Sigma 22
3285 107 Asia Mitsubishi.Wagon 18 161.6 7 143 4VAN 4 3 175.2 66.5 29.5 38.6 40 14929 Mitsubishi Wagon 21
3086 160 Asia Nissan.Maxima 19 14.5 5 181 4NBSE 6 3 187.6 69.3 36.7 39.5 43.7 18899 Nissan Maxima 26
2388 90 Asia Nissan.Pulsar 24 7 4 97 3HBXE 4 3 166.5 65.7 33.5 38 44.2 12269 Nissan Pulsar 29
2231 90 Asia Nissan.Sentra 26 12 5 97 4NBE 4 3 168.7 64.6 30.2 38.2 41.8 9419 Nissan Sentra 30
2770 97 Asia Nissan.Stanza 21 12 5 120 4NBE 4 3 177.8 66.5 32.2 38.9 42 12599 Nissan Stanza 27
3330 106 Asia Nissan.Van 18 157.6 7 146 4VANXE 4 3 178 66.5 30.2 39 39.8 15744 Nissan Van 21
2690 140 Asia Nissan.240SX 20 14.2 4 146 3HBSE 4 3 178 66.5 30.8 37.8 42 13959 Nissan 240SX 25
3139 165 Asia Nissan.300ZX 18 14.7 2 181 3HBGS 6 3 170.7 67.9 32.2 36.6 43.6 23049 Nissan 300ZX 26
3084 130 US Oldsmobile.Cutlass 20 15.5 6 173 2NB 6 1 192.1 71 39 37.8 42.3 14295 Oldsmobile Cutlass 29
3361 165 US Oldsmobile.Toronado 19 14.1 6 231 2NB 6 1 187.5 70.8 38.7 37.8 43 21995 Oldsmobile Toronado 28
2460 110 Europe Peugot.405 20 13.7 5 116 4NBDL 4 2 177.7 67.6 36.1 36.5 41.4 15150 Peugot 405 24
2410 135 US Plymouth.Laser 26 10.2 4 122 3HB 4 1 170.5 66.5 34 33.9 42.5 NA Plymouth Laser 37
2592 110 US Pontiac.Grand.Am 23 13.1 5 151 4NBLE 4 1 180.1 66.5 37.8 37.7 42.9 11159 Pontiac Grand.Am 30
3167 130 US Pontiac.Grand.Prix 20 15 6 173 2NB 6 1 193.9 70.9 39.7 37.8 42.3 13899 Pontiac Grand.Prix 29
2235 74 US Pontiac.LeMans 27 18.4 5 98 4NBLE 4 1 172.4 65.7 32.8 38.8 42 8419 Pontiac LeMans 31
2433 96 US Pontiac.Sunbird 23 15.2 5 121 4NBLE 4 1 181.7 65 34.7 38.6 42.2 8949 Pontiac Sunbird 31
2735 125 Europe Saab.900 19 53 5 121 4NB 4 2 184.3 66.5 33.8 36.8 41.7 18040 Saab 900 22
3022 125 Europe Saab.9000 18 56.5 5 121 5HBS 4 2 181.9 69.4 35.8 38.5 41.5 25140 Saab 9000 24
3164 161 Europe Sterling.827 18 12.1 5 163 4NB825S 6 1 188.8 76.8 36.5 37.8 41.2 21429 Sterling 827 23
1745 66 Asia Subaru.Justy 34 21.9 4 73 3HBRS 3 3 145.5 60.4 32.2 38 41.5 5666 Subaru Justy 35
2240 90 Asia Subaru.Sedan 25 14.9 5 109 4NBGL 4 3 174.6 65.4 34.8 37.6 41.7 12081 Subaru Sedan 27
2455 97 Asia Subaru.XT 23 11.6 4 109 2NBGL 4 3 177.6 66.5 34.1 37.4 43.3 13831 Subaru XT 30
1768 100 Asia Suzuki.Swift 25 NA 4 79 5HBGTi 4 3 146.1 62.4 30.2 NA NA NA Suzuki Swift 28
2690 115 Asia Toyota.Camry 24 15.4 5 122 4NB 6 3 182.1 67.4 34.8 37.9 42.9 12158 Toyota Camry 30
2436 115 Asia Toyota.Celica 26 NA 5 122 2NBST 4 3 173.6 67.3 35.4 37.8 44.4 12478 Toyota Celica 32
2207 90 Asia Toyota.Corolla 27 11 5 97 4NBDeluxe 4 3 170.3 65.2 NA 38.4 40.9 9668 Toyota Corolla 30
3417 190 Asia Toyota.Cressida 19 12 5 180 4NB 6 3 189.6 67.3 NA 38.4 42.8 21498 Toyota Cressida 24
2350 115 Asia Toyota.MR2 25 7.8 2 97 2NB 4 3 155.5 65.6 31.5 37.4 43 14548 Toyota MR2 30
3459 200 Asia Toyota.Supra 18 12.8 4 180 3HB 6 3 181.9 68.7 35.4 37.5 43.6 23110 Toyota Supra 23
2025 78 Asia Toyota.Tercel 28 37.8 5 89 5HBDeluxe 4 3 157.3 64 31.2 38.5 40.2 9008 Toyota Tercel 32
2203 81 Europe Volkswagen.Fox 24 9.9 4 109 4NBGL 4 2 163.4 63 31.5 36.6 41.1 7640 Volkswagen Fox 29
2305 100 Europe Volkswagen.Jetta 23 16.6 5 109 4NB 4 2 171.7 65.5 34.4 38.1 39.5 10415 Volkswagen Jetta 28
2919 114 Europe Volvo.240 19 14 5 140 4NBDL 4 2 189.9 67.3 32.2 37.9 40.1 17820 Volvo 240 24
2954 114 Europe Volvo.740 20 16.8 5 140 4NBGL 6 2 188.4 69.3 32.2 38.6 41 20555 Volvo 740 26
1832 64 Europe Yugo 28 27.5 4 79 3HB 4 3 139 60.7 31.2 37 39 4349 Yugo NA 31




