rent.total sqft renovation lease.length age dist.city dist.airport drive location occupancy floor.bldg sqft.bldg elevator restaurant wiring exercise dist.hosp firm floors.lease renewable parking
40011 2342.69 23 9 23 4.83 10.56 16.17 SUBNEW 0.62 16 52600.96 6 NO NO NO 0.65 BUS. 4 NO 0
899369 54307.95 9 3 9 5.15 10.85 18.9 SUBNEW 0.84 17 20568.81 6 NO NO NO 0.41 BUS. 2 NO 0
1163682 68121.98 47 5 47 0.83 13.65 23.61 CITY 0.96 16 27986.82 5 NO NO NO 0.43 GOVT 14 NO 12
1579939 90514.05 38 5 51 0.17 14.26 25.5 CITY 0.84 18 20054.36 8 NO NO NO 0.55 GOVT 4 NO 6
134261 7346.96 16 8 48 0.71 13.82 24.34 CITY 0.94 12 25534.52 5 YES NO NO 0.51 GOVT 3 NO 4
531646 32237.91 31 3 47 0.4 14.81 27.74 CITY 0.88 19 6412.95 6 NO NO NO 0.73 BUS. 3 YES 0
277070 16249.06 15 7 15 0.58 13.86 23.83 CITY 0.97 61 31833.33 14 YES NO YES 0.13 BUS. 35 NO 3
65740 4098.13 22 8 22 1.77 15.37 29.04 SUBOLD 0.86 15 46350.64 3 NO NO NO 1.78 BUS. 6 NO 0
742419 39191.26 32 3 48 0.28 14.15 25 CITY 0.91 17 24165.24 6 NO NO NO 0.43 DOCTOR 5 NO 4
175921 9210.38 3 4 30 1.48 13.02 20.21 CITY 0.88 42 17937.72 9 YES NO YES 0.78 OTHER 28 NO 5
97702 5910.19 2 8 42 0.3 14.2 25.05 CITY 0.89 22 21910.08 5 YES YES YES 0.47 GOVT 21 NO 0
53791 3794.63 0 7 16 3.26 17.56 37.92 SUBOLD 0.76 9 36587.6 4 YES YES YES 1.26 DOCTOR 1 NO 1
288171 17302.27 6 5 28 3.71 17.56 37.81 SUBOLD 0.84 3 15636.06 4 NO NO NO 0.33 BUS. 1 NO 2
524666 27402.08 41 8 41 0.45 14.24 24.99 CITY 0.92 29 35809.74 4 NO NO NO 0.57 LEGAL 16 NO 5
1282164 79623.86 2 8 13 5.75 19.11 44.45 SUBOLD 0.93 12 26195.21 7 YES NO YES 1.87 BUS. 3 NO 0
328806 18740.91 26 3 26 2.71 11.84 15.3 SUBNEW 0.86 19 16861.23 5 NO NO NO 0.51 BUS. 5 NO 0
123623 7210.2 21 7 21 3.94 11.86 17.76 SUBNEW 0.88 22 58000.65 5 YES NO NO 1.61 DOCTOR 1 NO 1
768670 45760.91 40 3 40 0.87 13.8 23.1 CITY 0.84 23 31122.84 8 NO NO NO 0.46 BUS. 4 NO 6
58808 3327.84 12 5 28 2.8 11.63 15.67 SUBNEW 0.87 19 45671.7 7 NO NO NO 0.24 OTHER 12 NO 2
979391 66341.5 26 7 26 5.3 13.06 26.37 SUBNEW 0.83 20 43321 7 NO NO NO 2.31 BUS. 8 NO 0
1217664 67664.35 41 6 41 1.13 13.66 22.37 CITY 0.84 21 36258.67 5 NO NO NO 0.68 LEGAL 12 NO 10
383177 21710.34 3 9 43 0.59 13.83 23.9 CITY 0.88 35 39577.29 10 YES YES YES 0.19 LEGAL 28 NO 6
860709 51736.63 15 4 26 4.08 10.88 13.09 SUBNEW 0.98 14 37183.87 6 YES NO YES 1.5 BUS. 6 NO 12
931757 53523.43 52 3 52 0.94 13.48 22.54 CITY 0.76 24 27811.51 7 NO NO NO 0.27 BUS. 22 YES 7
